County,1 Adult: 19–50 Years,2 Adults: 19–50 Years,1 Adult + 1 Child,2 Adults + 2 Children,1 Adult: 65+,2 Adults: 65+
Accomack County,853.6,853.6,1034,1382.7,853.6,853.6
Albemarle County,1635.7,1635.7,1901.9,2370.5,1635.7,1635.7
Alexandria city,2261.6,2261.6,2545.4,3182.3,2261.6,2261.6
Alleghany County,811.8,811.8,936.1,1311.2,811.8,811.8
Amelia County,1699.5,1699.5,1882.1,2382.6,1699.5,1699.5
Amherst County,1168.2,1168.2,1320,1811.7,1168.2,1168.2
Appomattox County,1168.2,1168.2,1320,1811.7,1168.2,1168.2
Arlington County,2261.6,2261.6,2545.4,3182.3,2261.6,2261.6
Augusta County,1225.4,1225.4,1410.2,1975.6,1225.4,1225.4
Bath County,772.2,772.2,953.7,1240.8,772.2,772.2
Bedford County,1168.2,1168.2,1320,1811.7,1168.2,1168.2
Bland County,757.9,757.9,936.1,1311.2,757.9,757.9
Botetourt County,1042.8,1042.8,1255.1,1756.7,1042.8,1042.8
Bristol city,906.4,906.4,1147.3,1477.3,906.4,906.4
Brunswick County,757.9,757.9,936.1,1311.2,757.9,757.9
Buchanan County,741.4,741.4,936.1,1243,741.4,741.4
Buckingham County,917.4,917.4,1028.5,1298,917.4,917.4
Buena Vista city,893.2,893.2,988.9,1386,893.2,893.2
Campbell County,1168.2,1168.2,1320,1811.7,1168.2,1168.2
Caroline County,996.6,996.6,1230.9,1724.8,996.6,996.6
Carroll County,776.6,776.6,936.1,1311.2,776.6,776.6
Charles City County,1699.5,1699.5,1882.1,2382.6,1699.5,1699.5
Charlotte County,713.9,713.9,936.1,1186.9,713.9,713.9
Charlottesville city,1635.7,1635.7,1901.9,2370.5,1635.7,1635.7
Chesapeake city,1631.3,1631.3,1865.6,2597.1,1631.3,1631.3
Chesterfield County,1699.5,1699.5,1882.1,2382.6,1699.5,1699.5
Clarke County,2261.6,2261.6,2545.4,3182.3,2261.6,2261.6
Colonial Heights city,1699.5,1699.5,1882.1,2382.6,1699.5,1699.5
Covington city,811.8,811.8,936.1,1311.2,811.8,811.8
Craig County,1042.8,1042.8,1255.1,1756.7,1042.8,1042.8
Culpeper County,1262.8,1262.8,1563.1,2070.2,1262.8,1262.8
Cumberland County,812.9,812.9,1004.3,1210,812.9,812.9
Danville city,755.7,755.7,936.1,1281.5,755.7,755.7
Dickenson County,757.9,757.9,936.1,1127.5,757.9,757.9
Dinwiddie County,1699.5,1699.5,1882.1,2382.6,1699.5,1699.5
Emporia city,782.1,782.1,1026.3,1402.5,782.1,782.1
Essex County,896.5,896.5,1106.6,1370.6,896.5,896.5
Fairfax County,2261.6,2261.6,2545.4,3182.3,2261.6,2261.6
Fairfax city,2261.6,2261.6,2545.4,3182.3,2261.6,2261.6
Falls Church city,2261.6,2261.6,2545.4,3182.3,2261.6,2261.6
Fauquier County,2261.6,2261.6,2545.4,3182.3,2261.6,2261.6
Floyd County,764.5,764.5,1003.2,1263.9,764.5,764.5
Fluvanna County,1635.7,1635.7,1901.9,2370.5,1635.7,1635.7
Franklin County,858,858,958.1,1342,858,858
Franklin city,979,979,1283.7,1641.2,979,979
Frederick County,1378.3,1378.3,1725.9,2147.2,1378.3,1378.3
Fredericksburg city,2261.6,2261.6,2545.4,3182.3,2261.6,2261.6
Galax city,776.6,776.6,936.1,1311.2,776.6,776.6
Giles County,940.5,940.5,1041.7,1298,940.5,940.5
Gloucester County,1631.3,1631.3,1865.6,2597.1,1631.3,1631.3
Goochland County,1699.5,1699.5,1882.1,2382.6,1699.5,1699.5
Grayson County,845.9,845.9,936.1,1267.2,845.9,845.9
Greene County,1635.7,1635.7,1901.9,2370.5,1635.7,1635.7
Greensville County,782.1,782.1,1026.3,1402.5,782.1,782.1
Halifax County,830.5,830.5,936.1,1190.2,830.5,830.5
Hampton city,1631.3,1631.3,1865.6,2597.1,1631.3,1631.3
Hanover County,1699.5,1699.5,1882.1,2382.6,1699.5,1699.5
Harrisonburg city,1196.8,1196.8,1531.2,2071.3,1196.8,1196.8
Henrico County,1699.5,1699.5,1882.1,2382.6,1699.5,1699.5
Henry County,748,748,936.1,1127.5,748,748
Highland County,757.9,757.9,936.1,1218.8,757.9,757.9
Hopewell city,1699.5,1699.5,1882.1,2382.6,1699.5,1699.5
Isle of Wight County,1631.3,1631.3,1865.6,2597.1,1631.3,1631.3
James City County,1631.3,1631.3,1865.6,2597.1,1631.3,1631.3
King George County,1186.9,1186.9,1470.7,2060.3,1186.9,1186.9
King William County,1699.5,1699.5,1882.1,2382.6,1699.5,1699.5
King and Queen County,1316.7,1316.7,1457.5,1809.5,1316.7,1316.7
Lancaster County,917.4,917.4,1133,1496,917.4,917.4
Lee County,767.8,767.8,936.1,1217.7,767.8,767.8
Lexington city,893.2,893.2,988.9,1386,893.2,893.2
Loudoun County,2261.6,2261.6,2545.4,3182.3,2261.6,2261.6
Louisa County,1107.7,1107.7,1226.5,1701.7,1107.7,1107.7
Lunenburg County,718.3,718.3,942.7,1214.4,718.3,718.3
Lynchburg city,1168.2,1168.2,1320,1811.7,1168.2,1168.2
Madison County,1004.3,1004.3,1205.6,1497.1,1004.3,1004.3
Manassas Park city,2261.6,2261.6,2545.4,3182.3,2261.6,2261.6
Manassas city,2261.6,2261.6,2545.4,3182.3,2261.6,2261.6
Martinsville city,748,748,936.1,1127.5,748,748
Mathews County,1631.3,1631.3,1865.6,2597.1,1631.3,1631.3
Mecklenburg County,744.7,744.7,976.8,1259.5,744.7,744.7
Middlesex County,1061.5,1061.5,1311.2,1579.6,1061.5,1061.5
Montgomery County,1064.8,1064.8,1354.1,1811.7,1064.8,1064.8
Nelson County,1635.7,1635.7,1901.9,2370.5,1635.7,1635.7
New Kent County,1699.5,1699.5,1882.1,2382.6,1699.5,1699.5
Newport News city,1631.3,1631.3,1865.6,2597.1,1631.3,1631.3
Norfolk city,1631.3,1631.3,1865.6,2597.1,1631.3,1631.3
Northampton County,742.5,742.5,973.5,1351.9,742.5,742.5
Northumberland County,1047.2,1047.2,1292.5,1557.6,1047.2,1047.2
Norton city,727.1,727.1,936.1,1239.7,727.1,727.1
Nottoway County,749.1,749.1,983.4,1378.3,749.1,749.1
Orange County,995.5,995.5,1228.7,1721.5,995.5,995.5
Page County,830.5,830.5,936.1,1182.5,830.5,830.5
Patrick County,771.1,771.1,936.1,1137.4,771.1,771.1
Petersburg city,1699.5,1699.5,1882.1,2382.6,1699.5,1699.5
Pittsylvania County,755.7,755.7,936.1,1281.5,755.7,755.7
Poquoson city,1631.3,1631.3,1865.6,2597.1,1631.3,1631.3
Portsmouth city,1631.3,1631.3,1865.6,2597.1,1631.3,1631.3
Powhatan County,1699.5,1699.5,1882.1,2382.6,1699.5,1699.5
Prince Edward County,915.2,915.2,1091.2,1314.5,915.2,915.2
Prince George County,1699.5,1699.5,1882.1,2382.6,1699.5,1699.5
Prince William County,2261.6,2261.6,2545.4,3182.3,2261.6,2261.6
Pulaski County,909.7,909.7,1007.6,1375,909.7,909.7
Radford city,1064.8,1064.8,1354.1,1811.7,1064.8,1064.8
Rappahannock County,1351.9,1351.9,1497.1,1804,1351.9,1351.9
Richmond County,886.6,886.6,1161.6,1471.8,886.6,886.6
Richmond city,1699.5,1699.5,1882.1,2382.6,1699.5,1699.5
Roanoke County,1042.8,1042.8,1255.1,1756.7,1042.8,1042.8
Roanoke city,1042.8,1042.8,1255.1,1756.7,1042.8,1042.8
Rockbridge County,893.2,893.2,988.9,1386,893.2,893.2
Rockingham County,1196.8,1196.8,1531.2,2071.3,1196.8,1196.8
Russell County,743.6,743.6,936.1,1148.4,743.6,743.6
Salem city,1042.8,1042.8,1255.1,1756.7,1042.8,1042.8
Scott County,906.4,906.4,1147.3,1477.3,906.4,906.4
Shenandoah County,897.6,897.6,1178.1,1562,897.6,897.6
Smyth County,794.2,794.2,936.1,1208.9,794.2,794.2
Southampton County,979,979,1283.7,1641.2,979,979
Spotsylvania County,2261.6,2261.6,2545.4,3182.3,2261.6,2261.6
Stafford County,2261.6,2261.6,2545.4,3182.3,2261.6,2261.6
Staunton city,1225.4,1225.4,1410.2,1975.6,1225.4,1225.4
Suffolk city,1631.3,1631.3,1865.6,2597.1,1631.3,1631.3
Surry County,757.9,757.9,936.1,1311.2,757.9,757.9
Sussex County,1699.5,1699.5,1882.1,2382.6,1699.5,1699.5
Tazewell County,720.5,720.5,936.1,1127.5,720.5,720.5
Virginia Beach city,1631.3,1631.3,1865.6,2597.1,1631.3,1631.3
Warren County,1087.9,1087.9,1427.8,1918.4,1087.9,1087.9
Washington County,906.4,906.4,1147.3,1477.3,906.4,906.4
Waynesboro city,1225.4,1225.4,1410.2,1975.6,1225.4,1225.4
Westmoreland County,960.3,960.3,1185.8,1662.1,960.3,960.3
Williamsburg city,1631.3,1631.3,1865.6,2597.1,1631.3,1631.3
Winchester city,1378.3,1378.3,1725.9,2147.2,1378.3,1378.3
Wise County,727.1,727.1,936.1,1239.7,727.1,727.1
Wythe County,724.9,724.9,938.3,1184.7,724.9,724.9
York County,1631.3,1631.3,1865.6,2597.1,1631.3,1631.3
